,0,1,2,3,4,5,6,7
94,TLTFF,27.414M,0.00,-0.01,0.00,20.00,0,78.367K
95,TRIB,42.239M,0.00,0.01,-0.02,-67.67,13.000M,21.170M
96,UAMY,34.956M,—,-0.00,—,—,—,1.743M
97,UI,11.579B,1.42,1.60,0.23,16.83,302.007M,337.417M
98,VEDL,6.273B,—,-1.87,-2.15,-764.34,0,2.726B
99,VIPS,14.139B,0.28,0.14,0.04,36.01,3.441B,2.693B
100,VNET,2.020B,-0.05,-0.18,-0.11,-168.98,165.349M,156.299M
101,WB,4.197B,0.47,0.23,-0.08,-26.17,380.300M,322.241M
102,WBAI,150.933M,—,-0.12,—,—,—,439.037K
103,WF,5.578B,0.61,1.77,0.09,5.55,1.379B,12.026B
104,WSM,7.505B,0.91,0.45,0.41,949.94,1.431B,1.235B
105,WUBA,7.097B,0.55,1.55,1.73,957.49,565.747M,366.868M
106,XIN,114.370M,—,-0.73,—,—,—,125.322M
107,XNET,277.969M,—,-0.08,—,—,—,48.044M
108,XSPA,16.971M,—,-1.69,—,—,—,7.718M
109,XTLB,8.742M,—,0.01,—,—,—,0
110,YRD,362.851M,0.17,0.03,-0.21,-87.40,273.974M,150.278M
111,YTRA,43.188M,-0.07,-0.06,-0.01,-14.79,25.343M,17.721M
