,0,1,2,3,4,5,6,7
0,ADI,43.492B,1.30,0.72,-0.31,-30.00,1.435B,1.317B
1,ADVZF,87.326M,-0.01,-0.01,0.00,13.00,—,0
2,AEO,1.875B,-0.19,-1.54,-1.24,-418.56,804.749M,551.692M
3,BCEKF,291.038M,-0.02,-0.03,-0.01,-59.37,—,0
4,CO,432.722M,—,0.11,—,—,—,42.971M
5,FINV,452.850M,0.19,0.20,0.14,235.57,313.697M,301.811M
6,FUV,248.611M,-0.11,-0.15,0.02,12.36,280.750K,616.795K
7,GOCO,5.967B,-0.04,-0.00,—,—,124.304M,141.010M
8,GRSLF,74.243M,-0.01,-0.01,—,—,—,0
9,GVP,19.028M,-0.03,-0.31,-0.29,-1438.00,18.400M,17.705M
10,HTHT,11.683B,-0.24,-1.07,-0.75,-236.29,277.483M,288.440M
11,IMMP,64.855M,-0.16,-0.11,0.19,63.52,—,—
12,IWSY,14.826M,—,-0.04,—,—,—,796.000K
13,JBSS,1.042B,0.91,1.17,0.51,76.80,220.700M,211.624M
14,KLXE,75.779M,-1.65,-52.62,-46.27,-728.65,78.900M,83.000M
15,LB,7.829B,-0.38,-1.07,-0.40,-60.45,2.191B,1.654B
16,LITB,309.618M,—,0.01,—,—,—,51.335M
17,LOW,119.223B,2.92,1.76,0.44,33.46,24.321B,19.675B
18,MBT,8.430B,0.17,0.30,0.11,59.61,1.571B,1.785B
19,MCF,254.281M,-0.18,-0.80,-0.70,-701.40,11.700M,34.573M
20,MTL,370.481M,—,-2.20,—,—,—,1.020B
21,MTL/P,424.605M,—,-0.55,—,—,—,1.020B
22,NCNA,181.001M,-0.00,-0.16,-0.16,-7008.93,0,0
23,NDSN,11.863B,1.34,1.58,0.32,25.18,503.367M,529.478M
24,NVDA,301.614B,1.97,1.47,-0.18,-10.84,3.654B,3.080B
25,PYPD,186.550M,-0.37,-0.59,—,—,—,0
26,QIWI,990.698M,0.32,0.38,-0.08,-17.76,81.808M,158.336M
27,RAVN,870.425M,0.04,0.11,0.01,12.20,84.131M,86.496M
28,ROIUF,15.805M,—,-0.00,—,—,—,4.471M
29,SMDM,12.720M,—,-0.05,—,—,—,1.008M
30,SMED,137.795M,0.01,-0.10,-0.05,-120.85,12.748M,10.414M
31,SMRT,5.545M,—,-1.38,—,—,—,138.182M
32,SNPS,30.171B,1.34,0.71,-0.27,-27.83,894.119M,861.055M
33,SQIDF,48.041M,—,-0.01,—,—,—,188.991K
34,SQM,3.870B,0.21,0.17,-0.07,-30.67,452.782M,381.684M
35,TGHI,1.280M,—,-0.01,—,—,—,40.000K
36,TGT,68.452B,1.63,0.56,0.12,27.68,19.971B,19.615B
37,TJX,68.818B,-0.10,-0.74,-0.67,-964.51,6.549B,4.409B
38,VIPS,14.139B,0.28,0.14,0.04,36.01,3.441B,2.693B
39,VNET,2.020B,-0.05,-0.18,-0.11,-168.98,165.349M,156.299M
40,WSM,7.505B,0.91,0.45,0.41,949.94,1.431B,1.235B
41,XSPA,16.971M,—,-1.69,—,—,—,7.718M
