fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,3245652000,3025896000,2307916000,937736000,155249000,24042000,None,None,55236000,None,717980000,None,219756000,None,37264000,31194000,729000,-36535000,None,None,None,31194000,-127985000,None,24042000,24042000,None
2019-06-30,USD,3472739000,773835000,2465116000,1007623000,235269000,143993000,None,None,194481000,None,742241000,1481000,233788000,None,40788000,50488000,600000,-40188000,2403000,31594000,None,50488000,-30713000,None,143993000,143993000,None
2018-06-30,USD,3073274000,658168000,2189279000,883995000,228860000,141625000,0,None,204718000,None,658168000,3033000,225827000,None,24142000,63093000,657000,-23485000,5822000,None,None,63093000,2376000,None,141625000,141625000,None
2017-06-30,USD,2593746000,563105000,1856051000,737695000,175797000,133910000,0,None,166966000,None,563105000,1207000,174590000,None,8831000,33056000,290000,-8541000,None,None,None,33056000,917000,None,133910000,133910000,None
2016-06-30,USD,2519428000,2365833000,1812006000,707422000,129528000,29577000,0,None,78978000,None,528247000,-819000,88801000,None,9004000,49401000,-9715000,-8763000,None,64794000,None,49401000,-65854000,None,29577000,29577000,None
