fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-55404000,-53856000,-55404000,None,-24553000,-78238000,-2535000,-3889000,24042000,160332000,296714000,None,62749000,-48873000,0,57028000,74437000,136203000,20115000,None,None,None
2019-06-30,USD,-55102000,-54358000,-55102000,-36132000,-7013000,-71539000,-6102000,-32308000,143993000,53960000,180601000,-7738000,62119000,-47266000,-11158000,-16590000,8465000,44710000,18970000,8465000,109000,54069000
2018-06-30,USD,-797906000,55365000,-797906000,-774676000,670782000,600284000,-1964000,11967000,141625000,-50318000,147304000,6947000,49863000,-45858000,-22676000,-33436000,-83103000,10043000,23230000,-83103000,-589000,-50907000
2017-06-30,USD,-16894000,40117000,-16894000,151000,-36353000,-103349000,-14791000,1879000,133910000,44376000,164619000,-2533000,39677000,-44619000,-7586000,-3624000,-42267000,-661000,17045000,-42267000,820000,45196000
2016-06-30,USD,-75031000,-28644000,-75031000,391000,7338000,-93007000,-19424000,1059000,29577000,-9609000,162014000,5488000,15966000,-43330000,-36569000,25081000,26414000,66981000,13130000,26414000,-3585000,-9609000
