,0,1,2,3,4,5,6,7
87,FUBO,988.803M,-0.62,-2.83,—,—,54.274M,44.172M
88,FULC,297.039M,-0.65,-0.66,0.12,15.27,550.000K,2.000M
89,GDRZF,145.117M,—,-0.02,—,—,—,0
90,GEVO,57.027M,-0.10,-0.40,-0.15,-60.40,720.000K,988.000K
91,GILT,334.799M,—,-0.08,—,—,—,38.315M
92,GLAD,238.935M,0.20,0.48,0.27,132.02,12.331M,11.622M
93,GLAE,1.500M,—,-59.52,—,—,—,300.000K
94,GLOG,226.372M,-0.03,-0.30,-0.28,-1786.62,150.483M,158.861M
95,GLOP,164.054M,0.17,0.01,-0.27,-95.54,75.264M,84.448M
96,GMDA,286.442M,-0.31,-0.30,0.00,1.54,0,0
97,GO,3.775B,0.23,0.30,0.07,30.85,759.044M,803.429M
98,GOSS,702.926M,-0.85,-1.00,-0.14,-16.31,0,0
99,GPOR,43.744M,-0.22,-3.51,-3.49,-20107.95,151.633M,105.439M
100,GSL,138.891M,0.38,0.42,0.10,31.25,69.997M,71.376M
101,GWGH,252.513M,—,-0.59,—,—,—,68.789M
102,HCAT,1.419B,-0.27,-0.71,-0.48,-201.65,44.596M,43.259M
103,HEOFF,109.233M,0.00,0.01,0.01,524.00,25.829M,26.416M
104,HEPA,25.902M,-0.51,-0.58,-0.08,-16.32,0,0
105,HGTXU,3.600M,—,0.00,—,—,—,502
106,HNCKF,28.038M,—,-0.00,—,—,—,0
107,HRVSF,664.189M,-0.03,-0.05,0.01,16.39,58.042M,56.627M
108,HSTO,21.486M,-0.80,-1.52,-0.62,-68.36,0,108.000K
109,HTGM,23.728M,-0.08,-0.09,-0.00,-2.12,2.228M,1.963M
110,IGC,56.851M,—,-0.05,—,—,—,584.000K
111,INTT,53.242M,0.06,0.02,0.04,162.25,14.009M,13.275M
112,INVE,119.880M,0.00,-0.17,-0.07,-77.26,24.800M,19.105M
113,IRCP,257.327M,-0.59,9.09,10.93,594.11,24.493M,45.160M
114,IRS,226.262M,—,4.12,4.05,5573.02,0,411.572M
115,ISIG,11.959M,—,-0.15,—,—,—,3.388M
116,ISNS,23.276M,—,0.03,—,—,—,3.387M
117,ISR,36.635M,-0.01,-0.02,-0.00,-31.25,2.854M,2.279M
118,JAN,7.109M,—,-1.22,—,—,—,4.007M
119,JCAP,400.591M,-0.22,-0.24,-0.14,-143.60,13.780M,11.493M
120,JMIA,1.510B,-0.60,-0.54,0.13,19.75,46.320M,38.477M
121,JOBS,4.936B,0.46,0.78,0.25,48.26,127.507M,116.900M
122,JRNGF,4.936M,-0.04,-0.27,-0.19,-259.50,19.815M,8.165M
123,KEP,11.632B,1.09,0.11,0.49,127.65,13.358B,10.711B
124,KNRLF,73.369M,—,-0.01,—,—,—,1.669M
125,KODK,505.570M,—,-0.23,—,—,—,213.000M
126,KRNT,2.899B,0.14,-0.11,-0.05,-68.52,55.285M,36.636M
127,KULR,85.868M,0.00,-0.01,-0.01,—,300.000K,201.128K
128,LAC,924.701M,-0.09,-0.07,0.03,30.56,0,0
129,LEU,110.045M,-0.59,3.19,—,—,33.000M,75.700M
130,LIVX,142.895M,-0.12,-0.13,-0.02,-17.06,16.683M,10.507M
131,LOMA,541.192M,0.07,0.01,-0.06,-85.66,120.086M,110.138M
132,LPCN,93.930M,-0.06,-0.13,-0.06,-82.86,0,0
133,LPL,4.780B,-0.02,-0.56,-0.22,-65.04,5.907B,5.673B
134,LPRO,3.102B,0.10,-1.01,-1.09,-1312.03,26.933M,22.067M
135,LRMR,303.746M,-2.28,-1.21,0.95,44.09,0,0
136,LSXMA,13.475B,0.39,-0.27,-0.73,-158.37,2.025B,1.874B
137,LSXMK,13.495B,0.03,-0.27,-0.42,-278.87,2.025B,1.874B
138,LUMO,122.583M,-0.65,-0.65,0.05,7.79,2.600M,33.000K
139,LUNG,1.632B,-5.33,-0.34,—,—,7.960M,3.673M
140,LYFT,11.762B,-0.93,-1.41,-0.39,-38.03,487.353M,339.345M
141,MARPS,6.840M,—,0.09,—,—,—,220.739K
142,MCEP,31.915M,0.10,-2.29,-2.37,-2958.00,13.350M,5.803M
143,MCF,174.331M,-0.17,-0.21,-0.03,-18.50,11.700M,17.842M
144,MDNA,191.480M,-0.06,-0.04,0.00,8.87,0,0
145,MDWD,104.491M,-0.10,-0.11,0.01,5.17,5.794M,4.027M
146,MEIP,303.809M,-0.08,-0.17,-0.39,-179.07,4.285M,25.504M
147,MGEN,63.970M,-0.13,-0.12,0.04,26.55,206.000K,168.000K
148,MIRM,465.566M,-0.98,-0.93,-0.06,-6.34,0,0
149,MNDO,45.168M,—,0.07,—,—,—,5.635M
