fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2019-12-31,USD,8428000,-27233000,8428000,10024000,None,-11933000,-10015000,-25115000,40772000,220412000,223825000,None,7594000,-13492000,11574000,-4545000,-5899000,236674000,1596000,None,None,None
2018-12-31,USD,70545000,-33461000,70545000,71664000,None,162831000,None,8767000,-225821000,30471000,-202888000,None,3177000,-7792000,162831000,-85000,816000,44259000,1119000,None,None,None
2017-12-31,USD,-202608000,72598000,-202608000,-202599000,106000000,289401000,-2037000,-36996000,-109751000,50510000,-36190000,None,228000,-7792000,185438000,-85000,-5413000,53163000,9000,None,None,None
2016-12-31,USD,34647000,-54000,34647000,34826000,106000000,-818000,-818000,17460000,-83217000,-21532000,-55361000,None,131000,-7792000,-818000,-85000,-5413000,10319000,179000,None,None,None
2015-12-31,USD,-35015000,239000,-35025000,-35015000,106000000,108689000,8689000,10275000,-61422000,29389000,-44275000,None,119000,None,100000000,None,-5413000,6514000,10000,None,None,None
