fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2019-12-31,USD,342958000,119947000,198806000,144152000,26077000,17034000,53931000,None,20922000,None,66016000,1872000,24205000,None,5155000,3888000,2955000,-2200000,None,None,None,3888000,-1083000,None,17034000,17034000,None
2018-12-31,USD,442575000,119677000,262939000,179636000,59815000,45885000,51876000,None,54705000,None,67801000,-144000,59959000,None,5110000,8820000,2328000,-2782000,-1400000,None,None,8820000,-2472000,None,45885000,45885000,None
2017-12-31,USD,410561000,102405000,260314000,150247000,48952000,126959000,43071000,None,43831000,None,59334000,1110000,47842000,None,5121000,-83128000,714000,-4407000,9105000,None,None,-83128000,396000,None,126959000,126959000,None
2016-12-31,USD,266980000,82975000,167382000,99598000,16097000,11001000,34402000,None,11024000,None,48291000,-526000,16623000,None,5073000,23000,238000,-4835000,None,282000,None,23000,-1046000,None,11001000,11001000,None
2015-12-31,USD,301495000,80988000,199789000,101706000,20181000,14678000,32586000,None,15205000,None,48384000,-537000,20718000,None,4976000,527000,-4912000,None,None,18000,None,527000,-5531000,None,14678000,14678000,None
