fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,20000,None,None,None,-14503000,None
2020-03-31,USD,0,11442000,None,None,-11168000,-11189000,8308000,None,-11157000,None,3134000,274000,-11442000,None,None,21000,281000,None,None,None,None,21000,285000,None,-11178000,-11189000,None
2019-12-31,USD,2453000,11383000,3645000,2453000,-8602000,-8623000,8375000,None,-8596000,None,3008000,328000,-8930000,None,None,21000,336000,None,None,None,None,21000,334000,None,-8617000,-8623000,None
2019-09-30,USD,0,11990000,2886000,-2886000,-11554000,-11577000,8642000,None,-11546000,None,3348000,436000,-11990000,None,2000,21000,446000,-2000,None,None,None,21000,446000,None,-11567000,-11577000,None
2019-06-30,USD,406000,11846000,3180000,406000,-10495000,-10514000,8332000,None,-10488000,None,3514000,945000,-11440000,None,-2000,19000,505000,None,None,None,None,19000,951000,None,-10507000,-10514000,None
2019-03-31,USD,21318000,10313000,2657000,21318000,11508000,11489000,7203000,None,11517000,None,3110000,503000,11005000,None,-2000,19000,512000,None,None,None,None,19000,512000,None,11498000,11489000,None
2018-12-31,USD,5934000,10605000,7583000,5934000,-4162000,-4181000,7583000,None,-4151000,None,3022000,509000,-4671000,None,-2000,19000,None,None,None,None,None,19000,509000,None,-4170000,-4181000,None
2018-09-30,USD,14034000,13278000,10065000,14034000,1219000,1200000,10065000,None,1227000,None,3213000,463000,756000,None,0,None,None,None,None,None,None,19000,463000,None,1208000,1200000,None
2018-06-30,USD,5416000,12195000,-7989000,5416000,-6474000,-6612000,8826000,0,-6459000,0,7075000,305000,-6779000,0,0,None,None,None,0,0,0,138000,305000,0,-6597000,-6612000,None
2018-03-31,USD,3603000,11299000,7353000,3603000,-7376000,-8101000,7353000,0,-7371000,0,3946000,320000,-7696000,0,0,None,None,None,0,0,0,725000,320000,0,-8096000,-8101000,None
2017-12-31,USD,4852000,11094000,10784000,4852000,-5981000,-5190000,7726000,0,-5981000,0,3368000,261000,-6242000,0,0,None,None,None,0,0,0,-791000,-9000,0,-5190000,-5190000,None
2017-09-30,USD,10315000,11982000,11748000,10315000,-1397000,-1397000,8276000,0,-1397000,0,0,270000,-1667000,3706000,0,None,None,None,0,0,0,0,270000,0,-1397000,-1397000,None
2017-06-30,USD,8346000,11149000,10893000,8346000,-2597000,-4478000,8302000,0,-2597000,0,8508000,206000,-2803000,0,0,None,None,None,0,0,0,1881000,668000,0,-4478000,-4478000,None
2017-03-31,USD,8388000,9224000,9002000,8388000,-600000,-821000,6303000,0,-600000,0,0,236000,-836000,2921000,0,None,None,None,0,0,0,221000,10000,0,-821000,-821000,None
2016-12-31,USD,10933000,8781000,8548000,10933000,2379000,2081000,6041000,0,2379000,0,0,227000,2152000,2740000,0,None,None,None,0,0,0,298000,-9000,0,2081000,2081000,None
2016-09-30,USD,11806000,8417000,8216000,11806000,3625000,3625000,5571000,0,3625000,0,2846000,236000,3389000,0,0,None,None,None,0,0,0,600000,236000,0,3625000,3625000,None
2016-06-30,USD,12113000,9626000,9434000,12113000,2728000,2728000,6756000,0,2728000,0,2870000,241000,2487000,0,0,None,None,None,0,0,0,0,681000,0,2728000,2728000,None
2016-03-31,USD,11997000,10230000,10051000,11997000,1969000,1969000,7868000,0,1969000,0,2362000,202000,1767000,0,0,None,None,None,0,0,0,0,-58000,0,1969000,1969000,None
2015-12-31,USD,12189000,9319000,9220000,12189000,3045000,3045000,7203000,0,3045000,0,2116000,175000,2870000,0,0,None,None,None,0,0,0,0,-5000,0,3045000,3045000,None
2015-09-30,USD,11062000,20275000,20178000,11062000,-9123000,-9123000,17037000,0,-9123000,0,3238000,90000,-9213000,0,0,None,None,None,0,0,0,0,90000,0,-9123000,-9123000,None
2015-06-30,USD,713000,8743000,8646000,713000,-7961000,-7961000,4553000,0,-7961000,0,4190000,69000,-8030000,0,0,None,None,None,0,0,0,0,201000,0,-7961000,-7961000,None
