fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2019-12-31,USD,54573000,8539000,45431000,9142000,1000000,-2732000,None,None,-2561000,None,8539000,672000,328000,None,3561000,37000,-3561000,-3561000,-134000,None,None,37000,397000,-134000,-2598000,-2732000,None
2018-12-31,USD,46309000,8839000,40895000,5414000,-5685000,-10992000,None,None,-9606000,None,2043000,278000,-5963000,2043000,3921000,3000,-3916000,-3921000,-2441000,495000,None,3000,-2260000,-1383000,-9609000,-10992000,None
2017-12-31,USD,49869000,17625000,45002000,4867000,-12692000,-22551000,None,None,-16070000,None,11430000,66000,-12758000,11430000,3378000,-197000,-3378000,-3378000,-6478000,6195000,None,-197000,-6107000,-6678000,-15873000,-22551000,None
2016-12-31,USD,66915000,17509000,60195000,6720000,-10915000,-15623000,None,None,-13511000,None,17509000,-126000,-10789000,17509000,2596000,2112000,-2500000,-2596000,-756000,6195000,None,2112000,-126000,-756000,-15623000,-15623000,None
2015-12-31,USD,80442000,79718000,63161000,17281000,724000,-832000,None,None,-1118000,None,16557000,None,626000,None,-1858000,-286000,-1858000,None,None,98000,None,-286000,-1842000,-756000,-832000,-832000,None
