fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2019-12-31,USD,10765153,18582950,4383112,6382041,-7095276,-7783271,701054,None,-7783271,None,13498784,None,-7817797,None,-75883,None,22530,-75883,None,None,None,None,110409,None,-7783271,-7835771,None
2018-12-31,USD,5660427,10234247,2626815,3033612,-4022485,-5019874,194429,None,-5019874,None,7413003,None,-4573820,None,-178002,None,-178240,-178002,None,None,None,0,-268052,None,-5019874,-5073614,None
2017-12-31,USD,2739439,7258085,1384145,1355294,-3979885,-5607839,181303,None,-5607839,None,5153876,None,-4518646,538761,917992,None,-1073470,-917992,None,None,None,0,-171201,None,-5607839,-5683045,None
2016-12-31,USD,994265,5422479,1226321,-232056,-8332386,-9578630,343712,None,-9578630,None,3282199,None,-4428214,570247,675997,None,-3436890,-675997,None,50000,None,0,-4474419,None,-9578630,-9658630,None
2015-12-31,USD,338860,7652831,1224650,-885790,-7313968,-7209150,375817,None,-7209150,None,5518140,None,-7313970,534220,-76723,None,101010,None,None,50000,None,0,104823,None,-7209145,-7862520,None
