fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2019-12-31,USD,-29400000,-26000000,-29400000,-1900000,-58100000,-111100000,-800000,-800000,-58500000,-146700000,-6000000,None,50700000,None,-51400000,14100000,2900000,15900000,28900000,None,None,None
2018-12-31,USD,60600000,16800000,60600000,90200000,14800000,13300000,-700000,5700000,-163000000,134800000,62500000,None,55100000,0,-1000000,-39400000,16300000,167600000,35300000,None,None,None
2017-12-31,USD,-80500000,-10500000,-80500000,90200000,64800000,24400000,-700000,-8400000,-41800000,8400000,62900000,None,78700000,0,-40000000,30400000,-2500000,20000000,44800000,None,None,None
2016-12-31,USD,-36900000,9900000,-36900000,200000,10000000,14500000,54200000,-1100000,9200000,30600000,54000000,None,46600000,-50000000,300000,-19800000,-3200000,13000000,37600000,None,None,None
2015-12-31,USD,None,23400000,-58300000,3300000,400000,5700000,5300000,-3100000,29600000,30600000,52600000,None,38100000,-50000000,300000,12100000,6500000,-59500000,61600000,None,None,None
